index,Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year,Rank_bar
0,10000m men,Gold,1.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,3
1,10000m men,Silver,2.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,2
2,10000m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
3,1500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
4,1500m men,Silver,2.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,2
5,1500m men,Bronze,3.0,Norway,NOR,Sigurd MOEN,Europe,Chamonix,1924,1
6,5000m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
7,5000m men,Silver,2.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,2
8,5000m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
9,500m men,Gold,1.0,United States of America,USA,Charles JEWTRAW,North America,Chamonix,1924,3
10,500m men,Silver,2.0,Norway,NOR,Oskar OLSEN,Europe,Chamonix,1924,2
11,500m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,1
12,500m men,Bronze,3.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,1
13,Team pursuit men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,Chamonix,1924,3
14,Team pursuit men,Silver,2.0,Norway,NOR,Roald LARSEN,Europe,Chamonix,1924,2
15,Team pursuit men,Bronze,3.0,Finland,FIN,Julius SKUTNABB,Europe,Chamonix,1924,1
16,1500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,St-Moritz,1928,3
17,1500m men,Silver,2.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,2
18,1500m men,Bronze,3.0,Norway,NOR,Ivar BALLANGRUD,Europe,St-Moritz,1928,1
19,5000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,St-Moritz,1928,3
20,5000m men,Silver,2.0,Finland,FIN,Julius SKUTNABB,Europe,St-Moritz,1928,2
21,5000m men,Bronze,3.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,1
22,500m men,Gold,1.0,Norway,NOR,Bernt EVENSEN,Europe,St-Moritz,1928,3
23,500m men,Gold,1.0,Finland,FIN,Clas THUNBERG,Europe,St-Moritz,1928,3
24,500m men,Bronze,3.0,United States of America,USA,John O FARRELL,North America,St-Moritz,1928,1
25,500m men,Bronze,3.0,Finland,FIN,Jaakko FRIMAN,Europe,St-Moritz,1928,1
26,500m men,Bronze,3.0,Norway,NOR,Roald LARSEN,Europe,St-Moritz,1928,1
27,10000m men,Gold,1.0,United States of America,USA,Irving JAFFEE,North America,Lake-Placid,1932,3
28,10000m men,Silver,2.0,Norway,NOR,Ivar BALLANGRUD,Europe,Lake-Placid,1932,2
29,10000m men,Bronze,3.0,Canada,CAN,Frank STACK,North America,Lake-Placid,1932,1
30,1500m men,Gold,1.0,United States of America,USA,Jack SHEA,North America,Lake-Placid,1932,3
31,1500m men,Silver,2.0,Canada,CAN,Alex Hurd,North America,Lake-Placid,1932,2
32,1500m men,Bronze,3.0,Canada,CAN,William F. LOGAN,North America,Lake-Placid,1932,1
33,5000m men,Gold,1.0,United States of America,USA,Irving JAFFEE,North America,Lake-Placid,1932,3
34,5000m men,Silver,2.0,United States of America,USA,Edward MURPHY,North America,Lake-Placid,1932,2
35,5000m men,Bronze,3.0,Canada,CAN,William F. LOGAN,North America,Lake-Placid,1932,1
36,500m men,Gold,1.0,United States of America,USA,Jack SHEA,North America,Lake-Placid,1932,3
37,500m men,Silver,2.0,Norway,NOR,Bernt EVENSEN,Europe,Lake-Placid,1932,2
38,500m men,Bronze,3.0,Canada,CAN,Alex Hurd,North America,Lake-Placid,1932,1
39,10000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,3
40,10000m men,Silver,2.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,2
41,10000m men,Bronze,3.0,Austria,AUT,Max STIEPL,Europe,Garmisch-Partenkirchen,1936,1
42,1500m men,Gold,1.0,Norway,NOR,Charles MATHISEN,Europe,Garmisch-Partenkirchen,1936,3
43,1500m men,Silver,2.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,2
44,1500m men,Bronze,3.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,1
45,5000m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,3
46,5000m men,Silver,2.0,Finland,FIN,Birger WASENIUS,Europe,Garmisch-Partenkirchen,1936,2
47,5000m men,Bronze,3.0,Finland,FIN,Antero OJALA,Europe,Garmisch-Partenkirchen,1936,1
48,500m men,Gold,1.0,Norway,NOR,Ivar BALLANGRUD,Europe,Garmisch-Partenkirchen,1936,3
49,500m men,Silver,2.0,Norway,NOR,Georg KROG,Europe,Garmisch-Partenkirchen,1936,2
50,500m men,Bronze,3.0,United States of America,USA,Leo FREISINGER,North America,Garmisch-Partenkirchen,1936,1
51,10000m men,Gold,,,,,,Garmisch-Partenkirchen,1940,0
52,10000m men,Silver,,,,,,Garmisch-Partenkirchen,1940,0
53,10000m men,Bronze,,,,,,Garmisch-Partenkirchen,1940,0
54,1500m men,Gold,,,,,,Garmisch-Partenkirchen,1940,0
55,1500m men,Silver,,,,,,Garmisch-Partenkirchen,1940,0
56,1500m men,Bronze,,,,,,Garmisch-Partenkirchen,1940,0
57,5000m men,Gold,,,,,,Garmisch-Partenkirchen,1940,0
58,5000m men,Silver,,,,,,Garmisch-Partenkirchen,1940,0
59,5000m men,Bronze,,,,,,Garmisch-Partenkirchen,1940,0
60,500m men,Gold,,,,,,Garmisch-Partenkirchen,1940,0
61,500m men,Silver,,,,,,Garmisch-Partenkirchen,1940,0
62,500m men,Bronze,,,,,,Garmisch-Partenkirchen,1940,0
63,10000m men,Gold,,,,,,Cortina d'Ampezzo,1944,0
64,10000m men,Silver,,,,,,Cortina d'Ampezzo,1944,0
65,10000m men,Bronze,,,,,,Cortina d'Ampezzo,1944,0
66,1500m men,Gold,,,,,,Cortina d'Ampezzo,1944,0
67,1500m men,Silver,,,,,,Cortina d'Ampezzo,1944,0
68,1500m men,Bronze,,,,,,Cortina d'Ampezzo,1944,0
69,5000m men,Gold,,,,,,Cortina d'Ampezzo,1944,0
70,5000m men,Silver,,,,,,Cortina d'Ampezzo,1944,0
71,5000m men,Bronze,,,,,,Cortina d'Ampezzo,1944,0
72,500m men,Gold,,,,,,Cortina d'Ampezzo,1944,0
73,500m men,Silver,,,,,,Cortina d'Ampezzo,1944,0
74,500m men,Bronze,,,,,,Cortina d'Ampezzo,1944,0
75,10000m men,Gold,1.0,Sweden,SWE,Ake SEYFFARTH,Europe,St-Moritz,1948,3
76,10000m men,Silver,2.0,Finland,FIN,Lauri PARKKINEN,Europe,St-Moritz,1948,2
77,10000m men,Bronze,3.0,Finland,FIN,Pentti LAMMIO,Europe,St-Moritz,1948,1
78,1500m men,Gold,1.0,Norway,NOR,Sverre FARSTAD,Europe,St-Moritz,1948,3
79,1500m men,Silver,2.0,Sweden,SWE,Ake SEYFFARTH,Europe,St-Moritz,1948,2
80,1500m men,Bronze,3.0,Norway,NOR,Odd LUNDBERG,Europe,St-Moritz,1948,1
81,5000m men,Gold,1.0,Norway,NOR,Reidar LIAKLEV,Europe,St-Moritz,1948,3
82,5000m men,Silver,2.0,Norway,NOR,Odd LUNDBERG,Europe,St-Moritz,1948,2
83,5000m men,Bronze,3.0,Sweden,SWE,Göthe HEDLUND,Europe,St-Moritz,1948,1
84,500m men,Gold,1.0,Norway,NOR,Finn HELGESEN,Europe,St-Moritz,1948,3
85,500m men,Silver,2.0,United States of America,USA,Ken Bartholomew,North America,St-Moritz,1948,2
86,500m men,Silver,2.0,Norway,NOR,Thomas BYBERG,Europe,St-Moritz,1948,2
87,500m men,Silver,2.0,United States of America,USA,Robert FITZGERALD,North America,St-Moritz,1948,2
88,10000m men,Gold,1.0,Norway,NOR,Hjalmar ANDERSEN,Europe,Oslo,1952,3
89,10000m men,Silver,2.0,Netherlands,NED,Cornelis BROEKMAN,Europe,Oslo,1952,2
90,10000m men,Bronze,3.0,Sweden,SWE,Carl-Erik ASPLUND,Europe,Oslo,1952,1
91,1500m men,Gold,1.0,Norway,NOR,Hjalmar ANDERSEN,Europe,Oslo,1952,3
92,1500m men,Silver,2.0,Netherlands,NED,Willem VAN DER VOORT,Europe,Oslo,1952,2
93,1500m men,Bronze,3.0,Norway,NOR,Roald AAS,Europe,Oslo,1952,1
94,5000m men,Gold,1.0,Norway,NOR,Hjalmar ANDERSEN,Europe,Oslo,1952,3
95,5000m men,Silver,2.0,Netherlands,NED,Cornelis BROEKMAN,Europe,Oslo,1952,2
96,5000m men,Bronze,3.0,Norway,NOR,Sverre HAUGLI,Europe,Oslo,1952,1
97,500m men,Gold,1.0,United States of America,USA,Kenneth HENRY,North America,Oslo,1952,3
98,500m men,Silver,2.0,United States of America,USA,Donald MCDERMOTT,North America,Oslo,1952,2
99,500m men,Bronze,3.0,Canada,CAN,Gordon AUDLEY,North America,Oslo,1952,1
100,500m men,Bronze,3.0,Norway,NOR,Arne JOHANSEN,Europe,Oslo,1952,1
101,10000m men,Gold,1.0,Sweden,SWE,Sigvard ERICSSON,Europe,Cortina-D-Ampezzo,1956,3
102,10000m men,Silver,2.0,Norway,NOR,Knut JOHANNESEN,Europe,Cortina-D-Ampezzo,1956,2
103,10000m men,Bronze,3.0,Soviet Union,URS,Oleg GONCHARENKO,Europe,Cortina-D-Ampezzo,1956,1
104,1500m men,Gold,1.0,Soviet Union,URS,Yevgeny GRISHIN,Europe,Cortina-D-Ampezzo,1956,3
105,1500m men,Gold,1.0,Soviet Union,URS,Yury MIKHAILOV,Europe,Cortina-D-Ampezzo,1956,3
106,1500m men,Bronze,3.0,Finland,FIN,Toivo SALONEN,Europe,Cortina-D-Ampezzo,1956,1
107,5000m men,Gold,1.0,Soviet Union,URS,Boris SHILKOV,Europe,Cortina-D-Ampezzo,1956,3
108,5000m men,Silver,2.0,Sweden,SWE,Sigvard ERICSSON,Europe,Cortina-D-Ampezzo,1956,2
109,5000m men,Bronze,3.0,Soviet Union,URS,Oleg GONCHARENKO,Europe,Cortina-D-Ampezzo,1956,1
110,500m men,Gold,1.0,Soviet Union,URS,Yevgeny GRISHIN,Europe,Cortina-D-Ampezzo,1956,3
111,500m men,Silver,2.0,Soviet Union,URS,Rafael GRACH,Europe,Cortina-D-Ampezzo,1956,2
112,500m men,Bronze,3.0,Norway,NOR,Alv GJESTVANG,Europe,Cortina-D-Ampezzo,1956,1
113,10000m men,Gold,1.0,Norway,NOR,Knut JOHANNESEN,Europe,Squaw-Valley,1960,3
114,10000m men,Silver,2.0,Soviet Union,URS,Viktor KOSICHKIN,Europe,Squaw-Valley,1960,2
115,10000m men,Bronze,3.0,Sweden,SWE,Kjell BÄCKMAN,Europe,Squaw-Valley,1960,1
116,1000m women,Gold,1.0,Soviet Union,URS,Klara GUSEVA,Europe,Squaw-Valley,1960,3
117,1000m women,Silver,2.0,Germany,GER,Helga HAASE,Europe,Squaw-Valley,1960,2
118,1000m women,Bronze,3.0,Soviet Union,URS,Tamara RYLOVA,Europe,Squaw-Valley,1960,1
119,1500m men,Gold,1.0,Norway,NOR,Roald AAS,Europe,Squaw-Valley,1960,3
120,1500m men,Gold,1.0,Soviet Union,URS,Yevgeny GRISHIN,Europe,Squaw-Valley,1960,3
121,1500m men,Bronze,3.0,Soviet Union,URS,Boris STENIN,Europe,Squaw-Valley,1960,1
122,1500m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Squaw-Valley,1960,3
123,1500m women,Silver,2.0,Poland,POL,Elwira SEROCZYNSKA,Europe,Squaw-Valley,1960,2
124,1500m women,Bronze,3.0,Poland,POL,Helena PILEJCZYK,Europe,Squaw-Valley,1960,1
125,3000m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Squaw-Valley,1960,3
126,3000m women,Silver,2.0,Soviet Union,URS,Valentina STENINA,Europe,Squaw-Valley,1960,2
127,3000m women,Bronze,3.0,Finland,FIN,Eevi HUTTUNEN,Europe,Squaw-Valley,1960,1
128,5000m men,Gold,1.0,Soviet Union,URS,Viktor KOSICHKIN,Europe,Squaw-Valley,1960,3
129,5000m men,Silver,2.0,Norway,NOR,Knut JOHANNESEN,Europe,Squaw-Valley,1960,2
130,5000m men,Bronze,3.0,Netherlands,NED,Janis PESMAN,Europe,Squaw-Valley,1960,1
131,500m men,Gold,1.0,Soviet Union,URS,Yevgeny GRISHIN,Europe,Squaw-Valley,1960,3
132,500m men,Silver,2.0,United States of America,USA,William DISNEY,North America,Squaw-Valley,1960,2
133,500m men,Bronze,3.0,Soviet Union,URS,Rafael GRACH,Europe,Squaw-Valley,1960,1
134,500m women,Gold,1.0,Germany,GER,Helga HAASE,Europe,Squaw-Valley,1960,3
135,500m women,Silver,2.0,Soviet Union,URS,Nataliya Donchenko,Europe,Squaw-Valley,1960,2
136,500m women,Bronze,3.0,United States of America,USA,Jeanne ASHWORTH,North America,Squaw-Valley,1960,1
137,10000m men,Gold,1.0,Sweden,SWE,Jonny NILSSON,Europe,Innsbruck,1964,3
138,10000m men,Silver,2.0,Norway,NOR,Fred Anton MAIER,Europe,Innsbruck,1964,2
139,10000m men,Bronze,3.0,Norway,NOR,Knut JOHANNESEN,Europe,Innsbruck,1964,1
140,1000m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Innsbruck,1964,3
141,1000m women,Silver,2.0,Soviet Union,URS,Irina YEGOROVA,Europe,Innsbruck,1964,2
142,1000m women,Bronze,3.0,Finland,FIN,Kaija MUSTONEN,Europe,Innsbruck,1964,1
143,1500m men,Gold,1.0,Soviet Union,URS,Ants ANTSON,Europe,Innsbruck,1964,3
144,1500m men,Silver,2.0,Netherlands,NED,Cornelis VERKERK,Europe,Innsbruck,1964,2
145,1500m men,Bronze,3.0,Norway,NOR,Villy HAUGEN,Europe,Innsbruck,1964,1
146,1500m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Innsbruck,1964,3
147,1500m women,Silver,2.0,Finland,FIN,Kaija MUSTONEN,Europe,Innsbruck,1964,2
148,1500m women,Bronze,3.0,Soviet Union,URS,Berta KOLOKOLTSEVA,Europe,Innsbruck,1964,1
149,3000m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Innsbruck,1964,3
150,3000m women,Silver,2.0,Democratic People's Republic of Korea,PRK,Pil-Hwa Han,Asia,Innsbruck,1964,2
151,3000m women,Silver,2.0,Soviet Union,URS,Valentina STENINA,Europe,Innsbruck,1964,2
152,5000m men,Gold,1.0,Norway,NOR,Knut JOHANNESEN,Europe,Innsbruck,1964,3
153,5000m men,Silver,2.0,Norway,NOR,Per Ivar MOE,Europe,Innsbruck,1964,2
154,5000m men,Bronze,3.0,Norway,NOR,Fred Anton MAIER,Europe,Innsbruck,1964,1
155,500m men,Gold,1.0,United States of America,USA,Richard MCDERMOTT,North America,Innsbruck,1964,3
156,500m men,Silver,2.0,Norway,NOR,Alv GJESTVANG,Europe,Innsbruck,1964,2
157,500m men,Silver,2.0,Soviet Union,URS,Yevgeny GRISHIN,Europe,Innsbruck,1964,2
158,500m men,Silver,2.0,Soviet Union,URS,Vladimir ORLOV,Europe,Innsbruck,1964,2
159,500m women,Gold,1.0,Soviet Union,URS,Lidiya SKOBLIKOVA,Europe,Innsbruck,1964,3
160,500m women,Silver,2.0,Soviet Union,URS,Irina YEGOROVA,Europe,Innsbruck,1964,2
161,500m women,Bronze,3.0,Soviet Union,URS,Tatyana SIDOROVA,Europe,Innsbruck,1964,1
162,10000m men,Gold,1.0,Sweden,SWE,Johnny HÖGLIN,Europe,Grenoble,1968,3
163,10000m men,Silver,2.0,Norway,NOR,Fred Anton MAIER,Europe,Grenoble,1968,2
164,10000m men,Bronze,3.0,Sweden,SWE,Örjan SANDLER,Europe,Grenoble,1968,1
165,1000m women,Gold,1.0,Netherlands,NED,Carolina GEIJSSEN,Europe,Grenoble,1968,3
166,1000m women,Silver,2.0,Soviet Union,URS,Lyudmila TITOVA,Europe,Grenoble,1968,2
167,1000m women,Bronze,3.0,United States of America,USA,Dianne HOLUM,North America,Grenoble,1968,1
168,1500m men,Gold,1.0,Netherlands,NED,Cornelis VERKERK,Europe,Grenoble,1968,3
169,1500m men,Silver,2.0,Norway,NOR,Ivar ERIKSEN,Europe,Grenoble,1968,2
170,1500m men,Silver,2.0,Netherlands,NED,Ard SCHENK,Europe,Grenoble,1968,2
171,1500m women,Gold,1.0,Finland,FIN,Kaija MUSTONEN,Europe,Grenoble,1968,3
172,1500m women,Silver,2.0,Netherlands,NED,Carolina GEIJSSEN,Europe,Grenoble,1968,2
173,1500m women,Bronze,3.0,Netherlands,NED,Stien Baas-Kaiser,Europe,Grenoble,1968,1
174,3000m women,Gold,1.0,Netherlands,NED,Johanna SCHUT,Europe,Grenoble,1968,3
175,3000m women,Silver,2.0,Finland,FIN,Kaija MUSTONEN,Europe,Grenoble,1968,2
176,3000m women,Bronze,3.0,Netherlands,NED,Stien Baas-Kaiser,Europe,Grenoble,1968,1
177,5000m men,Gold,1.0,Norway,NOR,Fred Anton MAIER,Europe,Grenoble,1968,3
178,5000m men,Silver,2.0,Netherlands,NED,Cornelis VERKERK,Europe,Grenoble,1968,2
179,5000m men,Bronze,3.0,Netherlands,NED,Petrus NOTTET,Europe,Grenoble,1968,1
180,500m men,Gold,1.0,Federal Republic of Germany,FRG,Erhard KELLER,Europe,Grenoble,1968,3
181,500m men,Silver,2.0,United States of America,USA,Richard MCDERMOTT,North America,Grenoble,1968,2
182,500m men,Silver,2.0,Norway,NOR,Magne THOMASSEN,Europe,Grenoble,1968,2
183,500m women,Gold,1.0,Soviet Union,URS,Lyudmila TITOVA,Europe,Grenoble,1968,3
184,500m women,Silver,2.0,United States of America,USA,Jennifer FISH,North America,Grenoble,1968,2
185,500m women,Silver,2.0,United States of America,USA,Dianne HOLUM,North America,Grenoble,1968,2
186,500m women,Silver,2.0,United States of America,USA,Mary MEYERS,North America,Grenoble,1968,2
187,10000m men,Gold,1.0,Netherlands,NED,Ard SCHENK,Europe,Sapporo,1972,3
188,10000m men,Silver,2.0,Netherlands,NED,Cornelis VERKERK,Europe,Sapporo,1972,2
189,10000m men,Bronze,3.0,Norway,NOR,Sten STENSEN,Europe,Sapporo,1972,1
190,1000m women,Gold,1.0,Federal Republic of Germany,FRG,Monika HOLZNER-GAWENUS,Europe,Sapporo,1972,3
191,1000m women,Silver,2.0,Netherlands,NED,Atje DEELSTRA,Europe,Sapporo,1972,2
192,1000m women,Bronze,3.0,United States of America,USA,Anne HENNING,North America,Sapporo,1972,1
193,1500m men,Gold,1.0,Netherlands,NED,Ard SCHENK,Europe,Sapporo,1972,3
194,1500m men,Silver,2.0,Norway,NOR,Roar GRÖNVOLD,Europe,Sapporo,1972,2
195,1500m men,Bronze,3.0,Sweden,SWE,Göran CLAESSON,Europe,Sapporo,1972,1
196,1500m women,Gold,1.0,United States of America,USA,Dianne HOLUM,North America,Sapporo,1972,3
197,1500m women,Silver,2.0,Netherlands,NED,Stien Baas-Kaiser,Europe,Sapporo,1972,2
198,1500m women,Bronze,3.0,Netherlands,NED,Atje DEELSTRA,Europe,Sapporo,1972,1
199,3000m women,Gold,1.0,Netherlands,NED,Stien Baas-Kaiser,Europe,Sapporo,1972,3
200,3000m women,Silver,2.0,United States of America,USA,Dianne HOLUM,North America,Sapporo,1972,2
201,3000m women,Bronze,3.0,Netherlands,NED,Atje DEELSTRA,Europe,Sapporo,1972,1
202,5000m men,Gold,1.0,Netherlands,NED,Ard SCHENK,Europe,Sapporo,1972,3
203,5000m men,Silver,2.0,Norway,NOR,Roar GRÖNVOLD,Europe,Sapporo,1972,2
204,5000m men,Bronze,3.0,Norway,NOR,Sten STENSEN,Europe,Sapporo,1972,1
205,500m men,Gold,1.0,Federal Republic of Germany,FRG,Erhard KELLER,Europe,Sapporo,1972,3
206,500m men,Silver,2.0,Sweden,SWE,Hasse BÖRJES,Europe,Sapporo,1972,2
207,500m men,Bronze,3.0,Soviet Union,URS,Valery MURATOV,Europe,Sapporo,1972,1
208,500m women,Gold,1.0,United States of America,USA,Anne HENNING,North America,Sapporo,1972,3
209,500m women,Silver,2.0,Soviet Union,URS,Vera KRASNOVA,Europe,Sapporo,1972,2
210,500m women,Bronze,3.0,Soviet Union,URS,Lyudmila TITOVA,Europe,Sapporo,1972,1
211,10000m men,Gold,1.0,Netherlands,NED,Piet KLEINE,Europe,Innsbruck,1976,3
212,10000m men,Silver,2.0,Norway,NOR,Sten STENSEN,Europe,Innsbruck,1976,2
213,10000m men,Bronze,3.0,Netherlands,NED,Hans VAN HELDEN,Europe,Innsbruck,1976,1
214,1000m men,Gold,1.0,United States of America,USA,Peter MUELLER,North America,Innsbruck,1976,3
215,1000m men,Silver,2.0,Norway,NOR,Jörn DIDRIKSEN,Europe,Innsbruck,1976,2
216,1000m men,Bronze,3.0,Soviet Union,URS,Valery MURATOV,Europe,Innsbruck,1976,1
217,1000m women,Gold,1.0,Soviet Union,URS,Tatyana AVERINA,Europe,Innsbruck,1976,3
218,1000m women,Silver,2.0,United States of America,USA,Leah MUELLER,North America,Innsbruck,1976,2
219,1000m women,Bronze,3.0,United States of America,USA,Sheila YOUNG,North America,Innsbruck,1976,1
220,1500m men,Gold,1.0,Norway,NOR,Jan Egil STORHOLT,Europe,Innsbruck,1976,3
221,1500m men,Silver,2.0,Soviet Union,URS,Yury KONDAKOV,Europe,Innsbruck,1976,2
222,1500m men,Bronze,3.0,Netherlands,NED,Hans VAN HELDEN,Europe,Innsbruck,1976,1
223,1500m women,Gold,1.0,Soviet Union,URS,Galina STEPANSKAYA,Europe,Innsbruck,1976,3
224,1500m women,Silver,2.0,United States of America,USA,Sheila YOUNG,North America,Innsbruck,1976,2
225,1500m women,Bronze,3.0,Soviet Union,URS,Tatyana AVERINA,Europe,Innsbruck,1976,1
226,3000m women,Gold,1.0,Soviet Union,URS,Tatyana AVERINA,Europe,Innsbruck,1976,3
227,3000m women,Silver,2.0,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Innsbruck,1976,2
228,3000m women,Bronze,3.0,Norway,NOR,Lisbeth KORSMO,Europe,Innsbruck,1976,1
229,5000m men,Gold,1.0,Norway,NOR,Sten STENSEN,Europe,Innsbruck,1976,3
230,5000m men,Silver,2.0,Netherlands,NED,Piet KLEINE,Europe,Innsbruck,1976,2
231,5000m men,Bronze,3.0,Netherlands,NED,Hans VAN HELDEN,Europe,Innsbruck,1976,1
232,500m men,Gold,1.0,Soviet Union,URS,Yevgeny KULIKOV,Europe,Innsbruck,1976,3
233,500m men,Silver,2.0,Soviet Union,URS,Valery MURATOV,Europe,Innsbruck,1976,2
234,500m men,Bronze,3.0,United States of America,USA,Daniel IMMERFALL,North America,Innsbruck,1976,1
235,500m women,Gold,1.0,United States of America,USA,Sheila YOUNG,North America,Innsbruck,1976,3
236,500m women,Silver,2.0,Canada,CAN,Cathy PRIESTNER,North America,Innsbruck,1976,2
237,500m women,Bronze,3.0,Soviet Union,URS,Tatyana AVERINA,Europe,Innsbruck,1976,1
238,10000m men,Gold,1.0,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980,3
239,10000m men,Silver,2.0,Netherlands,NED,Piet KLEINE,Europe,Lake-Placid,1980,2
240,10000m men,Bronze,3.0,Norway,NOR,Tom Erik OXHOLM,Europe,Lake-Placid,1980,1
241,1000m men,Gold,1.0,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980,3
242,1000m men,Silver,2.0,Canada,CAN,Gaetan BOUCHER,North America,Lake-Placid,1980,2
243,1000m men,Bronze,3.0,Soviet Union,URS,Vladimir LOBANOV,Europe,Lake-Placid,1980,1
244,1000m men,Bronze,3.0,Norway,NOR,Frode RÖNNING,Europe,Lake-Placid,1980,1
245,1000m women,Gold,1.0,Soviet Union,URS,Nataliya Petrusyova,Europe,Lake-Placid,1980,3
246,1000m women,Silver,2.0,United States of America,USA,Leah MUELLER,North America,Lake-Placid,1980,2
247,1000m women,Bronze,3.0,German Democratic Republic (Germany),GDR,Sylvia Albrecht,Europe,Lake-Placid,1980,1
248,1500m men,Gold,1.0,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980,3
249,1500m men,Silver,2.0,Norway,NOR,Kai Arne STENSHJEMMET,Europe,Lake-Placid,1980,2
250,1500m men,Bronze,3.0,Norway,NOR,Terje ANDERSEN,Europe,Lake-Placid,1980,1
251,1500m women,Gold,1.0,Netherlands,NED,Annie BORCKINK,Europe,Lake-Placid,1980,3
252,1500m women,Silver,2.0,Netherlands,NED,Adriana VISSER,Europe,Lake-Placid,1980,2
253,1500m women,Bronze,3.0,German Democratic Republic (Germany),GDR,Sabine BECKER,Europe,Lake-Placid,1980,1
254,3000m women,Gold,1.0,Norway,NOR,Björg Eva JENSEN,Europe,Lake-Placid,1980,3
255,3000m women,Silver,2.0,German Democratic Republic (Germany),GDR,Sabine BECKER,Europe,Lake-Placid,1980,2
256,3000m women,Bronze,3.0,United States of America,USA,Beth HEIDEN,North America,Lake-Placid,1980,1
257,5000m men,Gold,1.0,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980,3
258,5000m men,Silver,2.0,Norway,NOR,Kai Arne STENSHJEMMET,Europe,Lake-Placid,1980,2
259,5000m men,Bronze,3.0,Norway,NOR,Tom Erik OXHOLM,Europe,Lake-Placid,1980,1
260,500m men,Gold,1.0,United States of America,USA,Eric HEIDEN,North America,Lake-Placid,1980,3
261,500m men,Silver,2.0,Soviet Union,URS,Yevgeny KULIKOV,Europe,Lake-Placid,1980,2
262,500m men,Bronze,3.0,Netherlands,NED,Lieuwe DE BOER,Europe,Lake-Placid,1980,1
263,500m women,Gold,1.0,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Lake-Placid,1980,3
264,500m women,Silver,2.0,United States of America,USA,Leah MUELLER,North America,Lake-Placid,1980,2
265,500m women,Bronze,3.0,Soviet Union,URS,Nataliya Petrusyova,Europe,Lake-Placid,1980,1
266,10000m men,Gold,1.0,Soviet Union,URS,Igor MALKOV,Europe,Sarajevo,1984,3
267,10000m men,Silver,2.0,Sweden,SWE,Tomas GUSTAFSON,Europe,Sarajevo,1984,2
268,10000m men,Bronze,3.0,German Democratic Republic (Germany),GDR,René SCHÖFISCH,Europe,Sarajevo,1984,1
269,1000m men,Gold,1.0,Canada,CAN,Gaetan BOUCHER,North America,Sarajevo,1984,3
270,1000m men,Silver,2.0,Soviet Union,URS,Sergey KHLEBNIKOV,Europe,Sarajevo,1984,2
271,1000m men,Bronze,3.0,Norway,NOR,Kai Arne ENGELSTAD,Europe,Sarajevo,1984,1
272,1000m women,Gold,1.0,German Democratic Republic (Germany),GDR,Karin ENKE,Europe,Sarajevo,1984,3
273,1000m women,Silver,2.0,German Democratic Republic (Germany),GDR,Andrea EHRIG,Europe,Sarajevo,1984,2
274,1000m women,Bronze,3.0,Soviet Union,URS,Nataliya Petrusyova,Europe,Sarajevo,1984,1
275,1500m men,Gold,1.0,Canada,CAN,Gaetan BOUCHER,North America,Sarajevo,1984,3
276,1500m men,Silver,2.0,Soviet Union,URS,Sergey KHLEBNIKOV,Europe,Sarajevo,1984,2
277,1500m men,Bronze,3.0,Soviet Union,URS,Oleg BOZHYEV,Europe,Sarajevo,1984,1
