Event,Medal,Rank,Country,Country_Code,Athlete,Continent,Host City,Year
1500m men,Bronze,3,Norway,NOR,Adne SONDRAL,Europe,Salt-Lake-City,2002
3000m women,Gold,1,Germany,GER,Claudia PECHSTEIN,Europe,Salt-Lake-City,2002
3000m women,Silver,2,Netherlands,NED,Renate GROENEWOLD,Europe,Salt-Lake-City,2002
3000m women,Bronze,3,Canada,CAN,Cindy KLASSEN,North America,Salt-Lake-City,2002
500m men,Gold,1,United States of America,USA,Casey FITZRANDOLPH,North America,Salt-Lake-City,2002
500m men,Silver,2,Japan,JPN,Hiroyasu SHIMIZU,Asia,Salt-Lake-City,2002
500m men,Bronze,3,United States of America,USA,Kip CARPENTER,North America,Salt-Lake-City,2002
1000m women,Gold,1,United States of America,USA,Christine WITTY,North America,Salt-Lake-City,2002
1000m women,Silver,2,Germany,GER,Sabine VOELKER,Europe,Salt-Lake-City,2002
1000m women,Bronze,3,United States of America,USA,Jennifer RODRIGUEZ,North America,Salt-Lake-City,2002
1000m men,Gold,1,Netherlands,NED,Gerard VAN VELDE,Europe,Salt-Lake-City,2002
1000m men,Silver,2,Netherlands,NED,Jan BOS,Europe,Salt-Lake-City,2002
1000m men,Bronze,3,United States of America,USA,Joey CHEEK,North America,Salt-Lake-City,2002
5000m women,Gold,1,Germany,GER,Claudia PECHSTEIN,Europe,Nagano,1998
5000m women,Silver,2,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Nagano,1998
5000m women,Bronze,3,Kazakhstan,KAZ,Lyudmila PROKASHEVA,Asia,Nagano,1998
1000m women,Gold,1,Netherlands,NED,Marianne TIMMER,Europe,Nagano,1998
1000m women,Silver,2,United States of America,USA,Christine WITTY,North America,Nagano,1998
1000m women,Bronze,3,Canada,CAN,Catriona LE MAY DOAN,North America,Nagano,1998
1000m men,Gold,1,Netherlands,NED,Ids POSTMA,Europe,Nagano,1998
1000m men,Silver,2,Netherlands,NED,Jan BOS,Europe,Nagano,1998
1000m men,Bronze,3,Japan,JPN,Hiroyasu SHIMIZU,Asia,Nagano,1998
3000m women,Gold,1,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Nagano,1998
3000m women,Silver,2,Germany,GER,Claudia PECHSTEIN,Europe,Nagano,1998
3000m women,Bronze,3,Germany,GER,Anni FRIESINGER,Europe,Nagano,1998
500m men,Gold,1,Japan,JPN,Hiroyasu SHIMIZU,Asia,Nagano,1998
500m men,Silver,2,Canada,CAN,Jeremy WOTHERSPOON,North America,Nagano,1998
500m men,Bronze,3,Canada,CAN,Kevin OVERLAND,North America,Nagano,1998
1500m men,Gold,1,Norway,NOR,Adne SONDRAL,Europe,Nagano,1998
1500m men,Silver,2,Netherlands,NED,Ids POSTMA,Europe,Nagano,1998
1500m men,Bronze,3,Netherlands,NED,Rintje RITSMA,Europe,Nagano,1998
10000m men,Gold,1,Netherlands,NED,Gianni ROMME,Europe,Nagano,1998
10000m men,Silver,2,Netherlands,NED,Bob Johannes Carolus DE JONG,Europe,Nagano,1998
10000m men,Bronze,3,Netherlands,NED,Rintje RITSMA,Europe,Nagano,1998
500m women,Gold,1,Canada,CAN,Catriona LE MAY DOAN,North America,Nagano,1998
500m women,Silver,2,Canada,CAN,Susan AUCH,North America,Nagano,1998
500m women,Bronze,3,Japan,JPN,Tomomi OKAZAKI,Asia,Nagano,1998
1500m women,Gold,1,Netherlands,NED,Marianne TIMMER,Europe,Nagano,1998
1500m women,Silver,2,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Nagano,1998
1500m women,Bronze,3,United States of America,USA,Christine WITTY,North America,Nagano,1998
5000m men,Gold,1,Netherlands,NED,Gianni ROMME,Europe,Nagano,1998
5000m men,Silver,2,Netherlands,NED,Rintje RITSMA,Europe,Nagano,1998
5000m men,Bronze,3,Belgium,BEL,Bart VELDKAMP,Europe,Nagano,1998
1000m men,Gold,1,United States of America,USA,Daniel JANSEN,North America,Lillehammer,1994
1000m men,Silver,2,Belarus,BLR,Igor ZHELEZOVSKY,Europe,Lillehammer,1994
1000m men,Bronze,3,Russian Federation,RUS,Sergey KLEVCHENYA,Europe,Lillehammer,1994
1500m men,Gold,1,Norway,NOR,Johann Olav KOSS,Europe,Lillehammer,1994
1500m men,Silver,2,Netherlands,NED,Rintje RITSMA,Europe,Lillehammer,1994
1500m men,Bronze,3,Netherlands,NED,Falko ZANDSTRA,Europe,Lillehammer,1994
5000m women,Gold,1,Germany,GER,Claudia PECHSTEIN,Europe,Lillehammer,1994
5000m women,Silver,2,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Lillehammer,1994
5000m women,Bronze,3,Japan,JPN,Hiromi YAMAMOTO,Asia,Lillehammer,1994
1500m women,Gold,1,Austria,AUT,Emese HUNYADY,Europe,Lillehammer,1994
1500m women,Silver,2,Russian Federation,RUS,Svetlana FEDOTKINA,Europe,Lillehammer,1994
1500m women,Bronze,3,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Lillehammer,1994
500m women,Gold,1,United States of America,USA,Bonnie BLAIR,North America,Lillehammer,1994
500m women,Silver,2,Canada,CAN,Susan AUCH,North America,Lillehammer,1994
500m women,Bronze,3,Germany,GER,Franziska SCHENK,Europe,Lillehammer,1994
3000m women,Gold,1,Russian Federation,RUS,Svetlana BAJANOVA,Europe,Lillehammer,1994
3000m women,Silver,2,Austria,AUT,Emese HUNYADY,Europe,Lillehammer,1994
3000m women,Bronze,3,Germany,GER,Claudia PECHSTEIN,Europe,Lillehammer,1994
10000m men,Gold,1,Norway,NOR,Johann Olav KOSS,Europe,Lillehammer,1994
10000m men,Silver,2,Norway,NOR,Kjell STORELID,Europe,Lillehammer,1994
10000m men,Bronze,3,Netherlands,NED,Bart VELDKAMP,Europe,Lillehammer,1994
1000m women,Gold,1,United States of America,USA,Bonnie BLAIR,North America,Lillehammer,1994
1000m women,Silver,2,Germany,GER,Anke BAIER-LOEF,Europe,Lillehammer,1994
1000m women,Bronze,3,People's Republic of China,CHN,Qiaobo YE,Asia,Lillehammer,1994
5000m men,Gold,1,Norway,NOR,Johann Olav KOSS,Europe,Lillehammer,1994
5000m men,Silver,2,Norway,NOR,Kjell STORELID,Europe,Lillehammer,1994
5000m men,Bronze,3,Netherlands,NED,Rintje RITSMA,Europe,Lillehammer,1994
500m men,Gold,1,Russian Federation,RUS,Aleksandr GOLUBEV,Europe,Lillehammer,1994
500m men,Silver,2,Russian Federation,RUS,Sergey KLEVCHENYA,Europe,Lillehammer,1994
500m men,Bronze,3,Japan,JPN,Manabu HORII,Asia,Lillehammer,1994
3000m women,Gold,1,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Albertville,1992
3000m women,Silver,2,Germany,GER,Heike WARNICKE,Europe,Albertville,1992
3000m women,Bronze,3,Austria,AUT,Emese HUNYADY,Europe,Albertville,1992
1000m women,Gold,1,United States of America,USA,Bonnie BLAIR,North America,Albertville,1992
1000m women,Silver,2,People's Republic of China,CHN,Qiaobo YE,Asia,Albertville,1992
1000m women,Bronze,3,Germany,GER,Monique GARBRECHT-ENFELDT,Europe,Albertville,1992
500m women,Gold,1,United States of America,USA,Bonnie BLAIR,North America,Albertville,1992
500m women,Silver,2,People's Republic of China,CHN,Qiaobo YE,Asia,Albertville,1992
500m women,Bronze,3,Germany,GER,Christa LUDING-ROTHENBURGER,Europe,Albertville,1992
1500m men,Gold,1,Norway,NOR,Johann Olav KOSS,Europe,Albertville,1992
1500m men,Silver,2,Norway,NOR,Adne SONDRAL,Europe,Albertville,1992
1500m men,Bronze,3,Netherlands,NED,Leo VISSER,Europe,Albertville,1992
1500m women,Gold,1,Germany,GER,Jacqueline BÖRNER,Europe,Albertville,1992
1500m women,Silver,2,Germany,GER,Gunda NIEMANN-STIRNEMANN,Europe,Albertville,1992
1500m women,Bronze,3,Japan,JPN,Seiko HASHIMOTO,Asia,Albertville,1992
5000m men,Gold,1,Norway,NOR,Geir KARLSTAD,Europe,Albertville,1992
5000m men,Silver,2,Netherlands,NED,Falko ZANDSTRA,Europe,Albertville,1992
5000m men,Bronze,3,Netherlands,NED,Leo VISSER,Europe,Albertville,1992
1000m men,Gold,1,Germany,GER,Olaf ZINKE,Europe,Albertville,1992
1000m men,Silver,2,Republic of Korea,KOR,Yoon-Man KIM,Asia,Albertville,1992
